时间：1987.09—1991.07 西南政法学院法学专业学习
时间：1991.10—1995.01 新疆阿克苏中级人民法院书记员
时间：1995.01—1998.03 新疆阿克苏中级人民法院助理审判员
时间：1998.03—2002.09 新疆阿克苏中级人民法院副科级助理审判员
时间：2002.09—2003.01 深圳市中级人民法院房产庭副科级助理审判员
时间：2003.01—2004.10 深圳市中级人民法院立案庭副科级助理审判员
时间：2004.10—2005.11 深圳市中级人民法院立案庭正科级助理审判员
时间：2005.11—2011.03 深圳市中级人民法院民事审判第五庭正科级审判员
时间：2011.03—2013.09 深圳市中级人民法院房地产审判庭正科级审判员
时间：2013.09—2016.05 深圳市中级人民法院办公室副主任、审判员
时间：2016.05—2016.06 深圳市中级人民法院司法警察支队副支队长
时间：2016.06—今 深圳市中级人民法院司法警察支队支队长
