age,name,location,organization,position
54.0,丁强,深圳市,原市规划与国土资源局规划处,副处长
54.0,丁强,深圳市,原市规划局规划处,副处长;总师室调研员
54.0,丁强,深圳市,市规划国土委地区规划处,处长
54.0,丁强,深圳市,科技信息处,处长
54.0,丁强,深圳市,龙华管理局,局长
54.0,丁强,深圳市,深汕特别合作区管委会,副主任
54.0,丁强,深圳市,总体规划处（市城市规划委员会秘书处）,Blank
54.0,丁强,深圳市,地区规划处（地名处）,Blank
54.0,丁强,深圳市,城市和建筑设计处（市雕塑办公室）,Blank
54.0,丁强,深圳市,盐田管理局,Blank
54.0,丁强,深圳市,深汕合作区管理局,Blank
54.0,丁强,深圳市,市规划国土发展研究中心,Blank
54.0,丁强,深圳市,市公共艺术中心（深圳雕塑院、市城市设计促进中心）,Blank
54.0,丁强,深圳市,市当代艺术馆与城市规划展览馆,Blank
55.0,于宝明,深圳市,市交通运输委员会（市港务管理局）,党组书记;主任（局长）
55.0,于宝明,深圳市,市交通运输局（市港务管理局）,党组书记;局长
55.0,于宝明,深圳市,市建筑工务署,党组书记;署长
55.0,于宝明,深圳市,市运输局建设处,处长
55.0,于宝明,深圳市,市交通局规划建设处,调研员;处长
55.0,于宝明,深圳市,市交通局,总工程师;副局长
55.0,于宝明,深圳市,市交通运输委,党组成员;副主任
57.0,任继光,深圳市,深圳市司法局,党委委员;副局长
57.0,任继光,深圳市,律师公证管理处,Blank
57.0,任继光,深圳市,社区矫正和安置帮教工作处,Blank
57.0,任继光,深圳市,市监狱戒毒管理办公室,Blank
57.0,任继光,深圳市,深圳监狱,Blank
57.0,任继光,深圳市,市司法局第一强制隔离戒毒所,Blank
57.0,任继光,深圳市,市司法局第二强制隔离戒毒所,Blank
57.0,任继光,深圳市,宝安区司法局,Blank
57.0,任继光,深圳市,光明区综合办,Blank
57.0,任继光,深圳市,市律师协会,Blank
57.0,任继光,深圳市,市公证协会,Blank
57.0,任继光,深圳市,深圳市司法局,党委委员;副局长
57.0,任继光,深圳市,深圳市公安局,党委委员;副局长
56.0,余璟,深圳市,发展和改革委员会,党组成员;副主任
56.0,余璟,深圳市,能源集团东部电厂,总经理
56.0,余璟,深圳市,东部电厂二期厂,办主任
54.0,关苏,深圳市,教育局党组,二级巡视员
54.0,关苏,深圳市,教育局党组,巡视员
54.0,关苏,湖北省,军区办公室,主任
54.0,关苏,湖北省,咸宁军分区政治,委员
54.0,关苏,深圳市,驻香港部队基地,副政治委员
54.0,凌冲,深圳市,深圳市委员会,副部长;部长
54.0,凌冲,深圳市,深圳市团校,副校长(正处级)
54.0,凌冲,深圳市,深圳市委教育基地,主任
54.0,凌冲,深圳市,深圳市老龄工作委员会办公室,主任
54.0,凌冲,深圳市,市民政局救灾救济和低保处,处长
54.0,凌冲,深圳市,市民政局救灾救助和慈善处,处长
54.0,凌冲,深圳市,市民间组织管理局,局长
54.0,凌冲,深圳市,社会组织管理局,Blank
54.0,凌冲,深圳市,社会组织,Blank
59.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任
