时间：1987.11—1988.09 江西省农牧渔业厅劳动服务公司塑料制品厂、印刷厂工
时间：1988.09—1990.10 江西省农牧渔业贸易中心楼层修理工
时间：1990.10—1999.12 江西省农牧渔业贸易中心大厦餐厅治安员、保安部经理
时间：1999.12—2002.11 江西江龙大酒店商务分部办公室主任、部门经理
时间：2002.05—2008.04 深圳市中农网电子商务有限公司员工
时间：2008.04—2010.10 深圳市中农网电子商务有限公司市场部部长
时间：2010.11—2011.12 深圳市中农网电子商务有限公司总经理助理
时间：2011.11—2014.08 云南东盟国际农产品物流有限公司副总经理
时间：2014.08—2016.05 成都农产品中心批发市场有限责任公司副总经理
时间：2016.05—今 武汉东海吉星农产品物流管理有限公司总经理
