age,name,location,organization,position,orgClass
45.0,丁强,深圳市,原市规划与国土资源局规划处,副处长,国有资产监督管理
45.0,丁强,深圳市,原市规划局规划处,副处长;总师室调研员,国有资产监督管理
45.0,丁强,深圳市,市规划国土委地区规划处,处长,国有资产监督管理
45.0,丁强,深圳市,科技信息处,处长,科学技术
45.0,丁强,深圳市,龙华管理局,局长,机关
45.0,丁强,深圳市,深汕特别合作区管委会,副主任,Else
45.0,丁强,深圳市,总体规划处（市城市规划委员会秘书处）,Blank,国有资产监督管理
45.0,丁强,深圳市,地区规划处（地名处）,Blank,国有资产监督管理
45.0,丁强,深圳市,城市和建筑设计处（市雕塑办公室）,Blank,住房
45.0,丁强,深圳市,盐田管理局,Blank,机关
45.0,丁强,深圳市,深汕合作区管理局,Blank,机关
45.0,丁强,深圳市,市规划国土发展研究中心,Blank,发展和改革委员会
45.0,丁强,深圳市,市公共艺术中心（深圳雕塑院、市城市设计促进中心）,Blank,国有资产监督管理
45.0,丁强,深圳市,市当代艺术馆与城市规划展览馆,Blank,国有资产监督管理
46.0,于宝明,深圳市,市运输局建设处,处长,住房
46.0,于宝明,深圳市,市交通局规划建设处,调研员;处长,住房
46.0,于宝明,深圳市,市交通局,总工程师;副局长,交通运输
46.0,于宝明,深圳市,市交通运输委,党组成员;副主任,交通运输
47.0,余璟,深圳市,能源集团东部电厂,总经理,能源
47.0,余璟,深圳市,东部电厂二期厂,办主任,Else
45.0,关苏,深圳市,驻香港部队基地,副政治委员,部队
45.0,凌冲,深圳市,深圳市委员会,副部长;部长,党
45.0,凌冲,深圳市,深圳市团校,副校长(正处级),Else
45.0,凌冲,深圳市,深圳市委教育基地,主任,教育
45.0,凌冲,深圳市,深圳市老龄工作委员会办公室,主任,党
45.0,凌冲,深圳市,市民政局救灾救济和低保处,处长,民政
45.0,凌冲,深圳市,市民政局救灾救助和慈善处,处长,民政
45.0,凌冲,深圳市,市民间组织管理局,局长,机关
45.0,凌冲,深圳市,社会组织管理局,Blank,机关
45.0,凌冲,深圳市,社会组织,Blank,Else
50.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任,国有资产监督管理
50.0,刘世会,深圳市,市国土资源和房产管理局,办公室主任,住房
50.0,刘世会,深圳市,地政和监察分局,局长,司法
50.0,刘世会,深圳市,直属分局,局长,Else
50.0,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长,司法
50.0,刘世会,深圳市,秘书处,处长,Else
50.0,刘世会,深圳市,办公室（信访办）,Blank,信访
50.0,刘世会,深圳市,机关党委（人事处）,Blank,人力资源
50.0,刘世会,深圳市,龙岗管理局,Blank,机关
50.0,刘世会,深圳市,坪山管理局,Blank,机关
50.0,刘世会,深圳市,山水宾馆,Blank,Else
40.0,刘伟,深圳市,发展和改革委员会综合处,处长,发展和改革委员会
40.0,刘伟,深圳市,人民政府办公厅第一秘书处,处长,民政
40.0,刘伟,深圳市,人民政府办公厅财经处,副处长,民政
40.0,刘伟,深圳市,人民政府办公厅综合处,副处长,民政
48.0,刘初汉,北京市,北京大学高级管理人员工商管理,硕士,高等院校
48.0,刘初汉,深圳市,深圳市城管局（市城管执法局）,副局长;党委委员,Else
41.0,卢旭阳,深圳市,深圳市人居环境委员会污染防治处,调研员,生态环境
41.0,卢旭阳,深圳市,深圳市人居环境委员会污染防治处,副处长,生态环境
47.0,吴学龙,深圳市,深圳市城市管理局（市城市管理行政执法局）,党委委员,机关
47.0,吴学龙,深圳市,深圳市环境卫生管理处,处长（副局级）,生态环境
47.0,吴登记,深圳市,市人力资源和社会保障局工资福利处,处长,人力资源
47.0,吴登记,深圳市,深圳市社会保险基金管理局,局长;党委书记,社会保障
41.0,吴远翔,深圳市,深圳市委办公厅综合一处,副处长,党
41.0,吴远翔,深圳市,市民管局执法监察处,处长,司法
41.0,吴远翔,深圳市,市民政局办公室,主任,民政
41.0,吴远翔,深圳市,深圳市委办公厅综合一处,Blank,党
41.0,吴远翔,深圳市,市民管局执法监察处,Blank,司法
41.0,吴远翔,深圳市,市民政局办公室,Blank,民政
41.0,吴远翔,深圳市,办公室,Blank,Else
