age,name,location,organization,position
51.0,丁强,深圳市,原市规划与国土资源局规划处,副处长
51.0,丁强,深圳市,原市规划局规划处,副处长;总师室调研员
51.0,丁强,深圳市,市规划国土委地区规划处,处长
51.0,丁强,深圳市,科技信息处,处长
51.0,丁强,深圳市,龙华管理局,局长
51.0,丁强,深圳市,深汕特别合作区管委会,副主任
51.0,丁强,深圳市,总体规划处（市城市规划委员会秘书处）,Blank
51.0,丁强,深圳市,地区规划处（地名处）,Blank
51.0,丁强,深圳市,城市和建筑设计处（市雕塑办公室）,Blank
51.0,丁强,深圳市,盐田管理局,Blank
51.0,丁强,深圳市,深汕合作区管理局,Blank
51.0,丁强,深圳市,市规划国土发展研究中心,Blank
51.0,丁强,深圳市,市公共艺术中心（深圳雕塑院、市城市设计促进中心）,Blank
51.0,丁强,深圳市,市当代艺术馆与城市规划展览馆,Blank
52.0,于宝明,深圳市,市交通运输委员会（市港务管理局）,党组书记;主任（局长）
52.0,于宝明,深圳市,市交通运输局（市港务管理局）,党组书记;局长
52.0,于宝明,深圳市,市建筑工务署,党组书记;署长
54.0,任继光,深圳市,深圳市司法局,党委委员;副局长
54.0,任继光,深圳市,深圳市公安局,党委委员;副局长
53.0,余璟,深圳市,发展和改革委员会,党组成员;副主任
53.0,余璟,深圳市,能源集团东部电厂,总经理
53.0,余璟,深圳市,东部电厂二期厂,办主任
51.0,关苏,湖北省,军区办公室,主任
51.0,关苏,湖北省,咸宁军分区政治,委员
51.0,凌冲,深圳市,深圳市委员会,副部长;部长
51.0,凌冲,深圳市,深圳市团校,副校长(正处级)
51.0,凌冲,深圳市,深圳市委教育基地,主任
51.0,凌冲,深圳市,深圳市老龄工作委员会办公室,主任
51.0,凌冲,深圳市,市民政局救灾救济和低保处,处长
51.0,凌冲,深圳市,市民政局救灾救助和慈善处,处长
51.0,凌冲,深圳市,市民间组织管理局,局长
51.0,凌冲,深圳市,社会组织管理局,Blank
51.0,凌冲,深圳市,社会组织,Blank
56.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任
56.0,刘世会,深圳市,市国土资源和房产管理局,办公室主任
56.0,刘世会,深圳市,地政和监察分局,局长
56.0,刘世会,深圳市,直属分局,局长
56.0,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长
56.0,刘世会,深圳市,秘书处,处长
56.0,刘世会,深圳市,办公室（信访办）,Blank
56.0,刘世会,深圳市,机关党委（人事处）,Blank
56.0,刘世会,深圳市,龙岗管理局,Blank
56.0,刘世会,深圳市,坪山管理局,Blank
56.0,刘世会,深圳市,山水宾馆,Blank
46.0,刘伟,深圳市,龙岗区委,常委
46.0,刘伟,深圳市,区政府,党组成员
46.0,刘伟,深圳市,龙岗区委,常委;副区长
46.0,刘伟,深圳市,区政府,党组成员
46.0,刘伟,深圳市,龙岗区政府副区长,党组成员
46.0,刘伟,深圳市,发展和改革委员会综合处,处长
54.0,刘初汉,深圳市,深圳市人居环境委员会,主任
47.0,卢旭阳,深圳市,深圳市人居环境委员会大气环境管理处,处长
47.0,卢旭阳,深圳市,深圳市人居环境委员会,副主任
50.0,吴军军,深圳市,深圳市人力资源和社会保障局,党组成员;副局长
53.0,吴学龙,深圳市,深圳市城市管理局（市城市管理行政执法局）,党委委员
53.0,吴学龙,深圳市,深圳市环境卫生管理处,处长（副局级）
53.0,吴登记,深圳市,市人力资源和社会保障局工资福利处,处长
53.0,吴登记,深圳市,深圳市社会保险基金管理局,局长;党委书记
47.0,吴远翔,深圳市,深圳市委办公厅综合一处,副处长
47.0,吴远翔,深圳市,市民管局执法监察处,处长
47.0,吴远翔,深圳市,市民政局办公室,主任
47.0,吴远翔,深圳市,深圳市委办公厅综合一处,Blank
47.0,吴远翔,深圳市,市民管局执法监察处,Blank
47.0,吴远翔,深圳市,市民政局办公室,Blank
47.0,吴远翔,深圳市,办公室,Blank
47.0,吴远翔,深圳市,规划和政策法规处,Blank
47.0,吴远翔,深圳市,市捐助中心,Blank
47.0,吴远翔,深圳市,市慈善会,Blank
47.0,吴远翔,深圳市,分管领域和分管部门单位,Blank
47.0,吴远翔,深圳市,市慈善事业联合会,Blank
47.0,吴远翔,深圳市,市中国慈展会发展中心,Blank
47.0,吴远翔,深圳市,市社会工作者协会,Blank
46.0,周岸标,深圳市,政协深圳市坪山区委员会,副主席;党组成员
46.0,周岸标,深圳市,中共深圳市坪山区石井街道工作委员会,书记
46.0,周岸标,深圳市,深圳市生态环境局,党组成员;副局长
46.0,周岸标,深圳市,法规和标准处（生态文明体制改革办公室）,Blank
46.0,周岸标,深圳市,环境影响评价与排放管理处（行政审批处）,Blank
46.0,周岸标,深圳市,污染源管理处,Blank
46.0,周岸标,深圳市,市生态环境执法支队,Blank
46.0,周岸标,深圳市,市人居环境技术审查中心,Blank
46.0,周岸标,深圳市,市生态环境局龙岗分局,Blank
46.0,周岸标,深圳市,市生态环境局深汕特别合作区分局,Blank
46.0,周岸标,深圳市,中共深圳市坪山新区石井街道工作委员会书记兼办事处,主任
46.0,周岸标,深圳市,深圳市坪山新区坑梓办事处,主任
51.0,娄和儒,深圳市,深圳市交通运输委员会（市港务管理局）,党组成员;副主任（副局长）
51.0,娄和儒,深圳市,市交通局政工人事处,副处长;纪委副书记
51.0,娄和儒,深圳市,安全技术处,处长
51.0,娄和儒,深圳市,政工人事处,处长
51.0,娄和儒,深圳市,市交通运输委员会人事处,处长
