age,name,location,organization,position
27.0,丁强,深圳市,原市规划与国土资源局规划处,副处长
27.0,丁强,深圳市,原市规划局规划处,副处长;总师室调研员
27.0,丁强,深圳市,市规划国土委地区规划处,处长
27.0,丁强,深圳市,科技信息处,处长
27.0,丁强,深圳市,龙华管理局,局长
27.0,丁强,深圳市,深汕特别合作区管委会,副主任
27.0,丁强,深圳市,总体规划处（市城市规划委员会秘书处）,Blank
27.0,丁强,深圳市,地区规划处（地名处）,Blank
27.0,丁强,深圳市,城市和建筑设计处（市雕塑办公室）,Blank
27.0,丁强,深圳市,盐田管理局,Blank
27.0,丁强,深圳市,深汕合作区管理局,Blank
27.0,丁强,深圳市,市规划国土发展研究中心,Blank
27.0,丁强,深圳市,市公共艺术中心（深圳雕塑院、市城市设计促进中心）,Blank
27.0,丁强,深圳市,市当代艺术馆与城市规划展览馆,Blank
28.0,于宝明,深圳市,市运输局建设处,处长
28.0,于宝明,深圳市,市交通局规划建设处,调研员;处长
28.0,于宝明,深圳市,市交通局,总工程师;副局长
28.0,于宝明,深圳市,市交通运输委,党组成员;副主任
29.0,余璟,深圳市,能源集团东部电厂,总经理
29.0,余璟,深圳市,东部电厂二期厂,办主任
27.0,凌冲,深圳市,深圳市委员会,副部长;部长
27.0,凌冲,深圳市,深圳市团校,副校长(正处级)
27.0,凌冲,深圳市,深圳市委教育基地,主任
27.0,凌冲,深圳市,深圳市老龄工作委员会办公室,主任
27.0,凌冲,深圳市,市民政局救灾救济和低保处,处长
27.0,凌冲,深圳市,市民政局救灾救助和慈善处,处长
27.0,凌冲,深圳市,市民间组织管理局,局长
27.0,凌冲,深圳市,社会组织管理局,Blank
27.0,凌冲,深圳市,社会组织,Blank
32.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任
32.0,刘世会,深圳市,市国土资源和房产管理局,办公室主任
32.0,刘世会,深圳市,地政和监察分局,局长
32.0,刘世会,深圳市,直属分局,局长
32.0,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长
32.0,刘世会,深圳市,秘书处,处长
32.0,刘世会,深圳市,办公室（信访办）,Blank
32.0,刘世会,深圳市,机关党委（人事处）,Blank
32.0,刘世会,深圳市,龙岗管理局,Blank
32.0,刘世会,深圳市,坪山管理局,Blank
32.0,刘世会,深圳市,山水宾馆,Blank
22.0,刘伟,浙江省,华东石化销售公司高桥石油站,科员
22.0,刘伟,浙江省,浙江大学应用电子技术专业,学生
30.0,刘初汉,深圳市,深圳市环保局办公室,副主任科员（文秘）
30.0,刘初汉,深圳市,深圳市环保局办公室,科员（文秘）
23.0,卢旭阳,深圳市,沙头角建筑设计公司,排水设计助工
23.0,卢旭阳,北京市,清华大学环境工程专业,学生
29.0,吴学龙,深圳市,深圳市环卫化工厂,副厂长;厂长
29.0,吴学龙,深圳市,深圳市环境卫生管理处,科员
22.0,周岸标,广东省,共青团深圳市委,副部长;部长
27.0,娄和儒,深圳市,市交通局政工人事处,副处长;纪委副书记
27.0,娄和儒,深圳市,安全技术处,处长
27.0,娄和儒,深圳市,政工人事处,处长
27.0,娄和儒,深圳市,市交通运输委员会人事处,处长
25.0,尹杰,深圳市,深圳市环境保护监测站,助理工程师
29.0,廖远飞,深圳市,深圳市委办公厅,正处级秘书
29.0,廖远飞,深圳市,市工商行政管理局（物价局）宝安分局,局长
29.0,廖远飞,深圳市,市工商行政管理局（物价局）,副局长
29.0,廖远飞,深圳市,市场监管局,副局长
29.0,廖远飞,深圳市,市场监管局（知识产权局）,副局长
29.0,廖远飞,深圳市,市委办公厅,副主任
26.0,张亚立,深圳市,深圳石化集团,质检员
26.0,张亚立,兰州市,兰州大学化学专业,学员
28.0,张学凡,深圳市,深圳市福田区建筑工务局,局长
28.0,张学凡,深圳市,福田区住房和建设局,局长
28.0,张学凡,深圳市,深圳市住房和建设局,党组成员
28.0,张学凡,深圳市,市住房保障署,署长
24.0,张礼卫,深圳市,深圳市水务局政工人事处,处长
24.0,张礼卫,深圳市,深圳市东江水源工程管理处,主任
24.0,张礼卫,深圳市,深圳市建筑工务署,党组成员;总工程师;副署长;党组书记
31.0,张福通,深圳市,市财政培训中心,主任（副处级）
31.0,张福通,深圳市,市财政局,党组成员;总经济师（副局级）
31.0,张福通,深圳市,市财政局,党组成员;副局长
31.0,张福通,深圳市,市财政委员会,党组成员;副主任
22.0,张谦,深圳市,深圳市南山区规划土地监察大队,局长
22.0,张谦,深圳市,南山区城市更新局（土地整备局）,局长
22.0,张谦,深圳市,南山区西丽街道,党工委书记
22.0,张谦,深圳市,办事处,主任
22.0,张谦,深圳市,市规划土地监察局,Blank
22.0,张谦,深圳市,分管林业管理处,Blank
22.0,张谦,深圳市,市野生动植物保护管理处,Blank
22.0,张谦,深圳市,龙华管理局,Blank
22.0,张谦,深圳市,市野生动物救护中心,Blank
22.0,张谦,深圳市,市公安局森林分局,Blank
27.0,张陆,深圳市,深圳市交通工程质量监督站,站长
27.0,张陆,深圳市,深圳市交通运输委员会建设管理处,处长
27.0,张陆,深圳市,龙岗交通运输局,局长
27.0,张陆,深圳市,财务审计处,处长
27.0,张陆,深圳市,深圳市交通运输局财务审计处,处长
28.0,徐忠平,深圳市,市规划国土局地矿处,副处长;局办公室主任
28.0,徐忠平,深圳市,市规划局,总师室主任
28.0,徐忠平,深圳市,市规划国土房产信息中心,主任
28.0,徐忠平,深圳市,市城市规划发展研究中心,主任
28.0,徐忠平,深圳市,市规划国土发展研究中心,主任
31.0,曾岳雄,深圳市,深圳警备区,营级干事
31.0,曾岳雄,深圳市,深圳市盐田区委（区政府）,办公室副主任
31.0,曾岳雄,深圳市,盐田区城市管理局,局长
31.0,曾岳雄,深圳市,盐田区沙头角街道,党工委书记;办事处主任;区委委员
31.0,曾岳雄,深圳市,盐田区委,常委;区社会工作委员会主任
25.0,朱文芳,深圳市,深圳市住宅租赁管理中心,主任
25.0,朱文芳,深圳市,深圳市住房和建设局督查处,处长
25.0,朱文芳,深圳市,组织人事处,处长
25.0,朱文芳,深圳市,机关党委（人事处）,处长
29.0,李福民,深圳市,深圳市环保局办公室,副主任科员（文秘）
29.0,李福民,深圳市,市建筑工务署土地投资开发中心,主任
29.0,李福民,深圳市,市光明新区党工委（管委会）,副主任
31.0,李郑祥,深圳市,深圳市信息中心,工程师
31.0,李郑祥,郑州市,郑州轻工业学院,讲师
33.0,杨青,深圳市,市发展和改革局,副调研员;调研员
33.0,杨青,深圳市,市轨道交通建设指挥部,办公室调研员;处长
30.0,林翰章,深圳市,深圳市环境保护局政策法规处,处长
30.0,林翰章,深圳市,深圳市环境保护局,办公室主任
30.0,林翰章,深圳市,局机关,党委副书记
30.0,林翰章,深圳市,局机关,纪委书记;党组成员
30.0,林翰章,深圳市,深圳市环境保护局,副局长;党组成员
30.0,林翰章,深圳市,深圳市人居环境委员会,党组成员;副主任
30.0,林翰章,深圳市,深圳市水务局,巡视员
22.0,梁永生,哈尔滨市,哈尔滨塑料模具机械厂,助理工程师
22.0,梁永生,陕西省,西北轻工业学院制造与设计专业,本科生
