age,name,location,organization,position
49.0,丁强,深圳市,原市规划与国土资源局规划处,副处长
49.0,丁强,深圳市,原市规划局规划处,副处长;总师室调研员
49.0,丁强,深圳市,市规划国土委地区规划处,处长
49.0,丁强,深圳市,科技信息处,处长
49.0,丁强,深圳市,龙华管理局,局长
49.0,丁强,深圳市,深汕特别合作区管委会,副主任
49.0,丁强,深圳市,总体规划处（市城市规划委员会秘书处）,Blank
49.0,丁强,深圳市,地区规划处（地名处）,Blank
49.0,丁强,深圳市,城市和建筑设计处（市雕塑办公室）,Blank
49.0,丁强,深圳市,盐田管理局,Blank
49.0,丁强,深圳市,深汕合作区管理局,Blank
49.0,丁强,深圳市,市规划国土发展研究中心,Blank
49.0,丁强,深圳市,市公共艺术中心（深圳雕塑院、市城市设计促进中心）,Blank
49.0,丁强,深圳市,市当代艺术馆与城市规划展览馆,Blank
50.0,于宝明,深圳市,市建筑工务署,党组书记;署长
50.0,于宝明,深圳市,市运输局建设处,处长
50.0,于宝明,深圳市,市交通局规划建设处,调研员;处长
50.0,于宝明,深圳市,市交通局,总工程师;副局长
50.0,于宝明,深圳市,市交通运输委,党组成员;副主任
52.0,任继光,深圳市,深圳市公安局,党委委员;副局长
51.0,余璟,深圳市,能源集团东部电厂,总经理
51.0,余璟,深圳市,东部电厂二期厂,办主任
49.0,关苏,湖北省,咸宁军分区政治,委员
49.0,关苏,深圳市,驻香港部队基地,副政治委员
49.0,凌冲,深圳市,深圳市委员会,副部长;部长
49.0,凌冲,深圳市,深圳市团校,副校长(正处级)
49.0,凌冲,深圳市,深圳市委教育基地,主任
49.0,凌冲,深圳市,深圳市老龄工作委员会办公室,主任
49.0,凌冲,深圳市,市民政局救灾救济和低保处,处长
49.0,凌冲,深圳市,市民政局救灾救助和慈善处,处长
49.0,凌冲,深圳市,市民间组织管理局,局长
49.0,凌冲,深圳市,社会组织管理局,Blank
49.0,凌冲,深圳市,社会组织,Blank
54.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任
54.0,刘世会,深圳市,市国土资源和房产管理局,办公室主任
54.0,刘世会,深圳市,地政和监察分局,局长
54.0,刘世会,深圳市,直属分局,局长
54.0,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长
54.0,刘世会,深圳市,秘书处,处长
54.0,刘世会,深圳市,办公室（信访办）,Blank
54.0,刘世会,深圳市,机关党委（人事处）,Blank
54.0,刘世会,深圳市,龙岗管理局,Blank
54.0,刘世会,深圳市,坪山管理局,Blank
54.0,刘世会,深圳市,山水宾馆,Blank
44.0,刘伟,深圳市,发展和改革委员会综合处,处长
52.0,刘初汉,深圳市,深圳市人居环境委员会,主任
52.0,刘初汉,深圳市,深圳市城管局（市城管执法局）,副局长;党委委员
45.0,卢旭阳,深圳市,深圳市人居环境委员会,副主任
45.0,卢旭阳,深圳市,深圳市人居环境委员会环境安全管理处,处长
45.0,卢旭阳,深圳市,深圳市人居环境委员会大气污染防治办公室,副主任
45.0,卢旭阳,深圳市,深圳市人居环境委员会污染防治处,调研员
51.0,吴学龙,深圳市,深圳市城市管理局（市城市管理行政执法局）,党委委员
51.0,吴学龙,深圳市,深圳市环境卫生管理处,处长（副局级）
51.0,吴登记,深圳市,市人力资源和社会保障局工资福利处,处长
51.0,吴登记,深圳市,深圳市社会保险基金管理局,局长;党委书记
45.0,吴远翔,深圳市,深圳市委办公厅综合一处,副处长
45.0,吴远翔,深圳市,市民管局执法监察处,处长
45.0,吴远翔,深圳市,市民政局办公室,主任
45.0,吴远翔,深圳市,深圳市委办公厅综合一处,Blank
45.0,吴远翔,深圳市,市民管局执法监察处,Blank
45.0,吴远翔,深圳市,市民政局办公室,Blank
45.0,吴远翔,深圳市,办公室,Blank
45.0,吴远翔,深圳市,规划和政策法规处,Blank
45.0,吴远翔,深圳市,市捐助中心,Blank
45.0,吴远翔,深圳市,市慈善会,Blank
45.0,吴远翔,深圳市,分管领域和分管部门单位,Blank
45.0,吴远翔,深圳市,市慈善事业联合会,Blank
45.0,吴远翔,深圳市,市中国慈展会发展中心,Blank
45.0,吴远翔,深圳市,市社会工作者协会,Blank
44.0,周岸标,深圳市,深圳市坪山新区坑梓办事处,主任
49.0,娄和儒,深圳市,市交通局政工人事处,副处长;纪委副书记
49.0,娄和儒,深圳市,安全技术处,处长
49.0,娄和儒,深圳市,政工人事处,处长
49.0,娄和儒,深圳市,市交通运输委员会人事处,处长
53.0,孙福金,深圳市,深圳市机构编制委员会,办公室主任
53.0,孙福金,深圳市,深圳市机构编制委员会办公室,办公室副主任
47.0,尹杰,深圳市,深圳市人居环境委员会污染物排放总量控制处,处长
47.0,尹杰,深圳市,深圳市人居环境委员会污染减排处,调研员
51.0,廖远飞,深圳市,深圳市委办公厅,正处级秘书
51.0,廖远飞,深圳市,市工商行政管理局（物价局）宝安分局,局长
51.0,廖远飞,深圳市,市工商行政管理局（物价局）,副局长
51.0,廖远飞,深圳市,市场监管局,副局长
51.0,廖远飞,深圳市,市场监管局（知识产权局）,副局长
51.0,廖远飞,深圳市,市委办公厅,副主任
48.0,张亚立,深圳市,深圳市人居环境委员会污染减排处,处长
48.0,张亚立,深圳市,深圳市人居环境委员会污染减排处,调研员
50.0,张学凡,深圳市,深圳市福田区建筑工务局,局长
50.0,张学凡,深圳市,福田区住房和建设局,局长
50.0,张学凡,深圳市,深圳市住房和建设局,党组成员
50.0,张学凡,深圳市,市住房保障署,署长
53.0,张涞临,深圳市,坪山新区党工委,职位委员;管理委员会副主任
46.0,张礼卫,深圳市,深圳市水务局政工人事处,处长
46.0,张礼卫,深圳市,深圳市东江水源工程管理处,主任
46.0,张礼卫,深圳市,深圳市建筑工务署,党组成员;总工程师;副署长;党组书记
53.0,张福通,深圳市,市财政培训中心,主任（副处级）
53.0,张福通,深圳市,市财政局,党组成员;总经济师（副局级）
53.0,张福通,深圳市,市财政局,党组成员;副局长
53.0,张福通,深圳市,市财政委员会,党组成员;副主任
51.0,张素芬,深圳市,深圳市总工会,党组副主席
51.0,张素芬,深圳市,机关,党委书记
44.0,张谦,深圳市,深圳市南山区规划土地监察大队,局长
44.0,张谦,深圳市,南山区城市更新局（土地整备局）,局长
44.0,张谦,深圳市,南山区西丽街道,党工委书记
44.0,张谦,深圳市,办事处,主任
44.0,张谦,深圳市,市规划土地监察局,Blank
44.0,张谦,深圳市,分管林业管理处,Blank
44.0,张谦,深圳市,市野生动植物保护管理处,Blank
44.0,张谦,深圳市,龙华管理局,Blank
44.0,张谦,深圳市,市野生动物救护中心,Blank
44.0,张谦,深圳市,市公安局森林分局,Blank
49.0,张陆,深圳市,深圳市交通工程质量监督站,站长
49.0,张陆,深圳市,深圳市交通运输委员会建设管理处,处长
49.0,张陆,深圳市,龙岗交通运输局,局长
49.0,张陆,深圳市,财务审计处,处长
49.0,张陆,深圳市,深圳市交通运输局财务审计处,处长
41.0,徐志斌,深圳市,综合法规处,处长
50.0,徐忠平,深圳市,深圳市交通运输委员会（市港务管理局）,党组成员;副主任（副局长）
51.0,徐鹏,深圳市,深圳市司法局,副局长
53.0,曾岳雄,深圳市,深圳警备区,营级干事
53.0,曾岳雄,深圳市,深圳市盐田区委（区政府）,办公室副主任
53.0,曾岳雄,深圳市,盐田区城市管理局,局长
53.0,曾岳雄,深圳市,盐田区沙头角街道,党工委书记;办事处主任;区委委员
53.0,曾岳雄,深圳市,盐田区委,常委;区社会工作委员会主任
47.0,朱文芳,深圳市,深圳市住宅租赁管理中心,主任
47.0,朱文芳,深圳市,深圳市住房和建设局督查处,处长
47.0,朱文芳,深圳市,组织人事处,处长
47.0,朱文芳,深圳市,机关党委（人事处）,处长
47.0,朱迪俭,深圳市,市委党校,副校长（副院长）校委委员;校机关党委书记
52.0,李卓,深圳市,深圳市人力资源和社会保障局,党组成员
52.0,李卓,深圳市,市劳动人事争议仲裁院,Blank
52.0,李卓,深圳市,市劳动能力鉴定委员会办公室,Blank
45.0,李喻春,深圳市,伶仃福田国家级自然保护区管理局,副局长
45.0,李喻春,深圳市,原市农业和渔业局海洋管理处,副处长;处长
45.0,李喻春,深圳市,市规划国土委（市海洋局）海洋管理处,处长
45.0,李喻春,深圳市,市规划国土委（市海洋局）规划和资源管理处,处长
45.0,李喻春,深圳市,海洋规划和资源管理处,Blank
45.0,李喻春,深圳市,海洋发展处,Blank
45.0,李喻春,深圳市,渔业管理处,Blank
45.0,李喻春,深圳市,市海洋综合执法,Blank
45.0,李喻春,深圳市,市港澳流动渔民办,Blank
45.0,李喻春,深圳市,大鹏管理局,Blank
45.0,李喻春,深圳市,市海洋监测预报中心（市海域使用动态监管中心、市海洋信息中心）、市渔业与水产技术推广总站,Blank
51.0,李福民,深圳市,深圳市轨道交通建设指挥部,办公室主任（正局级）
51.0,李福民,深圳市,深圳市交通运输委员会（市港务管理局）,副主任
51.0,李福民,深圳市,Blank,党组副书记书记
53.0,李郑祥,深圳市,深圳市经济贸易和信息化委员会信息化处,处长
52.0,杜斌,深圳市,市社保局,专职党委副书记
52.0,杜斌,深圳市,深圳市人力资源和社会保障局,党组成员
52.0,杜斌,深圳市,局机关,党委书记;一级调研员
52.0,杜斌,深圳市,计划财务处;审计监督处,Blank
52.0,杜斌,深圳市,市社保局,副局长
55.0,杨青,深圳市,市发展和改革局,副调研员;调研员
55.0,杨青,深圳市,市轨道交通建设指挥部,办公室调研员;处长
52.0,林翰章,深圳市,深圳市环境保护局政策法规处,处长
52.0,林翰章,深圳市,深圳市环境保护局,办公室主任
52.0,林翰章,深圳市,局机关,党委副书记
52.0,林翰章,深圳市,局机关,纪委书记;党组成员
52.0,林翰章,深圳市,深圳市环境保护局,副局长;党组成员
52.0,林翰章,深圳市,深圳市人居环境委员会,党组成员;副主任
52.0,林翰章,深圳市,深圳市水务局,巡视员
44.0,梁永生,深圳市,深圳信息职业技术学院,副院长;信息技术研究所;所长
55.0,梅爱民,深圳市,深圳市市司法局,党委委员
55.0,梅爱民,深圳市,领导小组办公室（市普法领导小组办公室）,副主任
53.0,沙新华,深圳市,深圳市科技创新委员会科技应用促进处,处长
53.0,沙新华,深圳市,深圳市科技创新委员会高新区管理处,处长
52.0,温焕强,深圳市,深圳市财政委员会,党组成员
52.0,温焕强,深圳市,机关,党委书记
51.0,王东,深圳市,市南山区人大常委办公室,副主任
51.0,王东,深圳市,市南山区西丽街道,党工委书记;主任
51.0,王东,深圳市,市南山区人大常委会,副主任;党组成员
51.0,王东,深圳市,区总工会,主席
51.0,王东,深圳市,市南山区政府,副区长;党组成员
51.0,王东,深圳市,区总工会,主席
51.0,王东,深圳市,市南山区政府,副区长;党组成员
51.0,王东,深圳市,计划财务处,Blank
51.0,王东,深圳市,市政交通处（市地下管线管理办公室）,Blank
51.0,王东,深圳市,生态修复和地质环境处（市地面坍塌防治领导小组办公室）,Blank
51.0,王东,深圳市,南山管理局,Blank
51.0,王东,深圳市,宝安管理局,Blank
51.0,王东,深圳市,市梧桐山风景管理处,Blank
51.0,王东,深圳市,深圳大鹏半岛国家地质公园管理处,Blank
51.0,王东,深圳市,广东内伶仃福田国家自然保护区管理局,Blank
52.0,王伟雄,深圳市,深圳市坪山新区,党工委委员
52.0,王伟雄,深圳市,综合办公室,主任
50.0,王幼鹏,深圳市,市规划与国土资源局南山分局,局长
50.0,王幼鹏,深圳市,市规划局滨海分局,局长
50.0,王幼鹏,深圳市,市规划局,副局长;党组成员
50.0,王幼鹏,深圳市,市规划和国土资源委员会,副主任;党组成员
50.0,王幼鹏,深圳市,中共深圳市龙岗区,区委常委;副区长;常务副区长
50.0,王幼鹏,深圳市,市人民政府,副秘书长（正局级）
52.0,王爱朝,深圳市,深圳市土地投资开发中心,总工程师
52.0,王爱朝,深圳市,市建筑工务署土地开发中心,总工程师
52.0,王爱朝,深圳市,光明新区建筑工务和土地开发中心,主任
52.0,王爱朝,深圳市,光明新区土地整备中心,主任
52.0,王爱朝,深圳市,前海管理局规划建设处,处长
45.0,王策飞,深圳市,罗湖区重建局,局长
45.0,王策飞,深圳市,罗湖区城市更新局,局长
45.0,王策飞,深圳市,市城市更新局,局长
45.0,王策飞,深圳市,自然资源调查监测和确权登记处,Blank
45.0,王策飞,深圳市,自然资源所有者权益处,Blank
45.0,王策飞,深圳市,自然资源开发利用处,Blank
45.0,王策飞,深圳市,国土空间用途管制和耕地保护处,Blank
45.0,王策飞,深圳市,罗湖管理局,Blank
45.0,王策飞,深圳市,市土地房产交易中心（市矿业权交易中心）,Blank
45.0,王策飞,深圳市,市房地产评估中心（市地质环境监测中心）,Blank
45.0,皮勇华,深圳市,龙岗区布吉镇,党委委员
45.0,皮勇华,深圳市,布吉街道,党工委委员
45.0,皮勇华,深圳市,坂田街道,党工委组织宣传委员
