age,name,location,organization,position
24.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任
24.0,刘世会,深圳市,市国土资源和房产管理局,办公室主任
24.0,刘世会,深圳市,地政和监察分局,局长
24.0,刘世会,深圳市,直属分局,局长
24.0,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长
24.0,刘世会,深圳市,秘书处,处长
24.0,刘世会,深圳市,办公室（信访办）,Blank
24.0,刘世会,深圳市,机关党委（人事处）,Blank
24.0,刘世会,深圳市,龙岗管理局,Blank
24.0,刘世会,深圳市,坪山管理局,Blank
24.0,刘世会,深圳市,山水宾馆,Blank
22.0,刘初汉,武汉省,武汉大学法学专业,学生
21.0,吴学龙,武汉市,武汉城市建筑学院环境工程系,教师
21.0,吴学龙,北京市,清华大学土木工程系,学员
21.0,廖远飞,深圳市,深圳市委办公厅,正处级秘书
21.0,廖远飞,深圳市,市工商行政管理局（物价局）宝安分局,局长
21.0,廖远飞,深圳市,市工商行政管理局（物价局）,副局长
21.0,廖远飞,深圳市,市场监管局,副局长
21.0,廖远飞,深圳市,市场监管局（知识产权局）,副局长
21.0,廖远飞,深圳市,市委办公厅,副主任
18.0,张亚立,兰州市,兰州大学化学专业,学员
23.0,张福通,深圳市,市财政培训中心,主任（副处级）
23.0,张福通,深圳市,市财政局,党组成员;总经济师（副局级）
23.0,张福通,深圳市,市财政局,党组成员;副局长
23.0,张福通,深圳市,市财政委员会,党组成员;副主任
23.0,曾岳雄,深圳市,深圳警备区,营级干事
23.0,曾岳雄,深圳市,深圳市盐田区委（区政府）,办公室副主任
23.0,曾岳雄,深圳市,盐田区城市管理局,局长
23.0,曾岳雄,深圳市,盐田区沙头角街道,党工委书记;办事处主任;区委委员
23.0,曾岳雄,深圳市,盐田区委,常委;区社会工作委员会主任
23.0,李郑祥,郑州市,郑州轻工业学院,助教
25.0,杨青,深圳市,市发展和改革局,副调研员;调研员
25.0,杨青,深圳市,市轨道交通建设指挥部,办公室调研员;处长
22.0,林翰章,深圳市,深圳市环境保护局政策法规处,处长
