112	0
164	0
128	0
78	0
16	0
7	0
158	0
29	0
142	0
76	0
55	0
146	0
44	0
152	0
171	0
9	0
139	0
174	0
24	0
97	0
148	0
154	0
160	0
130	0
6	0
47	0
12	0
135	0
106	0
104	0
22	0
36	0
28	0
111	0
21	0
101	0
98	0
176	0
96	0
59	0
118	0
113	0
102	0
63	0
87	0
77	0
74	0
15	0
64	1
70	1
100	1
42	1
53	1
39	1
66	1
61	1
155	1
143	1
18	1
84	1
108	1
133	1
23	1
123	1
65	1
122	1
37	1
85	1
119	1
75	1
5	1
25	1
125	1
134	1
141	1
32	1
52	1
159	1
172	1
157	1
129	1
145	1
178	1
49	1
82	1
58	1
126	1
166	1
161	1
89	1
79	1
88	1
150	1
103	1
149	1
175	1
35	2
10	2
80	2
165	2
170	2
56	2
156	2
34	2
124	2
115	2
127	2
13	2
73	2
136	2
43	2
38	2
48	2
105	3
162	3
110	3
33	3
114	3
26	3
54	3
57	3
27	3
109	4
151	4
180	4
81	4
17	4
40	4
72	4
8	4
121	4
